Date,STELLANTIS
19/06/2025,8.155
20/06/2025,8.203
23/06/2025,8.010
24/06/2025,8.254
25/06/2025,8.509
26/06/2025,8.341
27/06/2025,8.818
30/06/2025,8.578
01/07/2025,8.601
02/07/2025,8.745
03/07/2025,8.747
04/07/2025,8.573
07/07/2025,8.394
08/07/2025,8.617
09/07/2025,8.745
10/07/2025,8.844
11/07/2025,8.586
14/07/2025,8.434
15/07/2025,8.530
16/07/2025,8.144
17/07/2025,8.173
18/07/2025,7.913
21/07/2025,8.035
22/07/2025,7.881
23/07/2025,8.601
24/07/2025,8.246
25/07/2025,8.505
28/07/2025,8.273
29/07/2025,8.286
30/07/2025,7.912
31/07/2025,7.916
01/08/2025,7.589
04/08/2025,7.612
05/08/2025,7.584
06/08/2025,7.633
07/08/2025,7.896
08/08/2025,8.086
11/08/2025,8.020
12/08/2025,8.274
13/08/2025,8.276
14/08/2025,8.324
18/08/2025,8.316
19/08/2025,8.584
20/08/2025,8.428
21/08/2025,8.295
22/08/2025,8.646
25/08/2025,8.572
26/08/2025,8.412
27/08/2025,8.173
28/08/2025,8.215
29/08/2025,8.184
01/09/2025,8.230
02/09/2025,8.070
03/09/2025,7.792
04/09/2025,7.713
05/09/2025,7.750
08/09/2025,7.622
09/09/2025,7.620
10/09/2025,7.460
11/09/2025,8.145
12/09/2025,7.995
15/09/2025,8.072
16/09/2025,8.140
17/09/2025,8.238
18/09/2025,8.400
